 Brazil	215,751,142	49.25%	1,580,204	0.75%	92
 Colombia	52,382,128	11.96%	678,395	1.37%	51
 Argentina	46,033,581	10.51%	419,527	0.95%	74
 Peru	34,087,854	7.78%	521,193	1.63%	43
 Venezuela	27,454,621	6.27%	−371,289	−1.29%	−54
 Chile	19,620,837	4.48%	222,878	1.19%	59
 Ecuador	18,250,338	4.17%	289,304	1.69%	41
 Bolivia	11,995,145	2.74%	159,958	1.41%	50
 Paraguay	7,310,844	1.67%	88,570	1.27%	55
 Uruguay	3,498,489	0.80%	12,449	0.36%	192
 Guyana	793,894	0.18%	3,760	0.48%	144
 Suriname	597,442	0.14%	5,382	0.93%	75
 French Guiana	304,352	0.07%	7,018	2.55%	28
 Falkland Islands	3,834	0.00%	143	4.42%	16

